Date,Symbol,Open,High,Low,Last,Close,Turnover,Trades
27-05-2022,ADANIENT,2080,2094.3,2047.7,2085,2080.15,2.80472E+14,33847
30-05-2022,ADANIENT,2120,2175,2102,2169,2165.65,2.98447E+14,42616
31-05-2022,ADANIENT,2160,2225.8,2150.4,2160,2167.55,6.26923E+14,65981
01-06-2022,ADANIENT,2169.95,2189.3,2126,2155,2150.9,3.13087E+14,41408
02-06-2022,ADANIENT,2155,2218,2142.3,2215.2,2209.4,4.05215E+14,48420
03-06-2022,ADANIENT,2235,2242.25,2176.05,2194.2,2190,3.65116E+14,37453
06-06-2022,ADANIENT,2188.5,2230,2168.2,2228,2225.05,3.67485E+14,44623
07-06-2022,ADANIENT,2210,2254.7,2207.05,2219.4,2227.55,4.56187E+14,57351
08-06-2022,ADANIENT,2244.95,2244.95,2158.55,2178,2177.2,3.37091E+14,49879
09-06-2022,ADANIENT,2160.3,2224,2155,2218,2219.2,3.15378E+14,33651
10-06-2022,ADANIENT,2190,2215,2171,2198.75,2203.1,2.86297E+14,38908
13-06-2022,ADANIENT,2172.5,2172.5,2066.75,2082.1,2079.75,3.7388E+14,55355
14-06-2022,ADANIENT,2274,2274,2053.1,2197.6,2196.45,1.40846E+15,184436
15-06-2022,ADANIENT,2218.4,2219.7,2174.2,2176.5,2184.6,2.88087E+14,46859
16-06-2022,ADANIENT,2205,2217.3,2076.05,2084.95,2083,4.55255E+14,61940
17-06-2022,ADANIENT,2062,2137.4,2060.15,2110,2095.8,4.79185E+14,68806
20-06-2022,ADANIENT,2107.3,2123.3,2025,2083.9,2079.85,5.36103E+14,69448
21-06-2022,ADANIENT,2100,2177,2091.65,2159.85,2161.8,2.84399E+14,44749
22-06-2022,ADANIENT,2149.95,2149.95,2077.1,2086,2089.2,3.72864E+14,64117
23-06-2022,ADANIENT,2105,2128,2080,2114.2,2110.35,2.16236E+14,36051
24-06-2022,ADANIENT,2121,2168,2108.6,2154.95,2161.45,2.47417E+14,33693
27-06-2022,ADANIENT,2189,2211,2169.35,2182,2181.6,2.63157E+14,37716
28-06-2022,ADANIENT,2170,2210.25,2160,2207,2204.6,2.80274E+14,37963
29-06-2022,ADANIENT,2185,2247.8,2177.2,2211,2220.1,3.74802E+14,52274
30-06-2022,ADANIENT,2220,2248.5,2180.5,2190,2190.9,3.47254E+14,46645
01-07-2022,ADANIENT,2189.9,2242,2138.25,2229.25,2232.2,4.69558E+14,47117
04-07-2022,ADANIENT,2232.2,2277,2228.35,2260.9,2261.85,3.56912E+14,45778
05-07-2022,ADANIENT,2264,2290.7,2238,2243.65,2246.45,3.07366E+14,39354
06-07-2022,ADANIENT,2245,2277,2236.5,2269,2272.85,2.36513E+14,25604
07-07-2022,ADANIENT,2280,2294.95,2256,2274.85,2274.3,2.15125E+14,28623
08-07-2022,ADANIENT,2286,2303.6,2263.9,2297,2293.05,2.05331E+14,23635
11-07-2022,ADANIENT,2293.05,2384.6,2291.05,2364.5,2373.25,4.61456E+14,65448
12-07-2022,ADANIENT,2364.4,2389.8,2350.15,2359.5,2365.65,3.02119E+14,47448
13-07-2022,ADANIENT,2373.5,2384.65,2333.7,2353.1,2353.5,2.3151E+14,37511
14-07-2022,ADANIENT,2365,2404,2336.5,2394,2383.1,2.20968E+14,34681
15-07-2022,ADANIENT,2414.5,2422.95,2377,2401,2405.25,2.80864E+14,40288
18-07-2022,ADANIENT,2424,2441.85,2406.05,2426.6,2423.6,2.27188E+14,33675
